Read File starts:   Wed Dec 12 16:19:47 2018
Read File finishes: Wed Dec 12 16:19:47 2018
initial sz : Wed Dec 12 16:19:47 2018
102 th Lanczos step: Wed Dec 12 16:19:49 2018
103 th Lanczos step: Wed Dec 12 16:19:49 2018
104 th Lanczos step: Wed Dec 12 16:19:49 2018
105 th Lanczos step: Wed Dec 12 16:19:49 2018
106 th Lanczos step: Wed Dec 12 16:19:49 2018
Lanczos Eigenvalue finishes:  Wed Dec 12 16:19:49 2018
Lanczos Eigenvector starts:   Wed Dec 12 16:19:49 2018
Lanczos Eigenvector finishes: Wed Dec 12 16:19:50 2018
Calculate energy begins:      Wed Dec 12 16:19:50 2018
Calculate energy finishes:    Wed Dec 12 16:19:50 2018
Lanczos expec_cisajs Starts: Wed Dec 12 16:19:50 2018
Lanczos expec_cisajs finishes: Wed Dec 12 16:19:50 2018
Lanczos expec_cisajs finishes: Wed Dec 12 16:19:50 2018
Lanczos expec_cisajacktalt finishes: Wed Dec 12 16:19:50 2018
Lanczos expec_cisajacktalt finishes: Wed Dec 12 16:19:50 2018
Output Eigenvector starts:          Wed Dec 12 16:19:50 2018
Output Eigenvector finishes:        Wed Dec 12 16:19:50 2018
