    0    0    0    0 0.3333333333 -0.0000000000
    0    0    1    0 0.2411812254 -0.0000000000
    0    0    2    0 0.1063125478 0.0000000000
    0    0    3    0 -0.0007633067 0.0000000000
    0    0    4    0 -0.0350439876 -0.0000000000
    0    0    5    0 -0.0153203348 -0.0000000000
    0    0    6    0 0.0006768243 0.0000000000
    0    0    7    0 -0.0153203347 0.0000000000
    0    0    8    0 -0.0350439877 -0.0000000000
    0    0    9    0 -0.0007633067 -0.0000000000
    0    0   10    0 0.1063125478 -0.0000000000
    0    0   11    0 0.2411812255 0.0000000000
    0    1    0    1 0.3333333333 -0.0000000000
    0    1    1    1 0.2411812254 0.0000000000
    0    1    2    1 0.1063125478 0.0000000000
    0    1    3    1 -0.0007633067 -0.0000000000
    0    1    4    1 -0.0350439877 0.0000000000
    0    1    5    1 -0.0153203348 -0.0000000000
    0    1    6    1 0.0006768243 0.0000000000
    0    1    7    1 -0.0153203348 0.0000000000
    0    1    8    1 -0.0350439877 -0.0000000000
    0    1    9    1 -0.0007633067 -0.0000000000
    0    1   10    1 0.1063125478 -0.0000000000
    0    1   11    1 0.2411812255 -0.0000000000
